"","userID","sessionID","actionTaken","timelineMSEC","durationMSEC","X","Y","Rel__dist_","Total_dist_"
"286","ID01","ID01_Session03","Left mouse button pressed",1528392,110,"19","56","937.14","1302.04"
"287","ID01","ID01_Session03","Left mouse button pressed",1534174,78,"629","484","745.17","879.87"
"288","ID01","ID01_Session03","Left mouse button pressed",1610469,109,"15","64","812.97","1528.80"
"289","ID01","ID01_Session03","Left mouse button pressed",1613235,93,"910","641","1064.87","1329.14"
"290","ID01","ID01_Session03","Left mouse button pressed",1614094,62,"928","694","55.97","62.16"
"291","ID01","ID01_Session03","Left mouse button pressed",1615672,94,"1224","638","301.25","486.25"
"292","ID01","ID01_Session03","Left mouse button pressed",1624969,62,"1025","732","140.94","946.15"
"293","ID01","ID01_Session03","Left mouse button pressed",1647843,110,"417","589","177.37","187.69"
"294","ID01","ID01_Session03","Left mouse button pressed",1684733,78,"487","124","665.99","974.11"
"295","ID01","ID01_Session03","Left mouse button pressed",1692514,125,"66","635","662.09","2091.56"
"296","ID01","ID01_Session03","Left mouse button pressed",1701389,735,"188","750","163.22","791.19"
"297","ID01","ID01_Session03","Left mouse button pressed",1702327,46,"469","765","8.06","9.83"
"298","ID01","ID01_Session03","Left mouse button pressed",1728154,78,"12","59","841.00","1309.68"
"299","ID01","ID01_Session04","Left mouse button pressed",0,156,"1151","16","1151.11","4711.91"
"300","ID01","ID01_Session04","Left mouse button pressed",1125,109,"1211","441","429.21","539.32"
"301","ID01","ID01_Session04","Left mouse button pressed",7248,141,"112","663","941.17","3396.33"
"302","ID01","ID01_Session04","Left mouse button pressed",18792,172,"497","719","390.24","467.82"
"303","ID01","ID01_Session04","Left mouse button pressed",55220,203,"421","559","301.53","2214.92"
"304","ID01","ID01_Session04","Left mouse button pressed",64389,641,"386","512","56.22","85.46"
"305","ID01","ID01_Session04","Left mouse button pressed",65217,125,"496","542","31.89","34.26"
"306","ID01","ID01_Session04","Left mouse button pressed",70481,485,"413","587","94.41","272.06"
