userID,sessionID,actionTakenNumeric,durationMSEC,timelineMSEC,idleTime,X,Y,reldist,totaldist
ID01,ID01_Session02,0,109,1726598,15359,19,57,613.51,1098.20
ID01,ID01_Session02,0,94,1728473,1766,83,422,370.57,540.16
ID01,ID01_Session02,1,20063,1728707,140,92,426,9.85,12.24
ID01,ID01_Session02,0,78,1748770,0,1022,876,1038.19,1630.87
ID01,ID01_Session02,0,94,1750957,2109,1150,852,130.23,316.84
ID01,ID01_Session02,1,2109,1751426,375,1146,841,11.70,17.83
ID01,ID01_Session02,0,125,1753535,0,976,787,179.32,195.00
ID01,ID01_Session02,1,2281,1755582,1922,937,892,112.01,326.74
ID01,ID01_Session02,0,94,1757863,0,1197,816,278.10,450.98
ID01,ID01_Session03,1,625,26578,26516,407,576,141.15,1848.14
ID01,ID01_Session03,1,9875,27296,93,399,572,3.61,4.41
ID01,ID01_Session03,0,94,37171,0,23,67,616.24,746.60
ID01,ID01_Session03,0,78,40640,3375,462,729,794.33,3000.78
ID01,ID01_Session03,1,26140,42671,1953,509,653,89.36,133.94
ID01,ID01_Session03,0,94,68811,0,494,590,122.00,981.44
ID01,ID01_Session03,1,16921,70280,1375,542,644,72.25,1084.85
ID01,ID01_Session03,0,359,87311,110,339,626,155.43,1295.49
ID01,ID01_Session03,0,93,87858,188,484,629,0.00,0.00
ID01,ID01_Session03,1,47014,100186,12235,540,717,104.31,926.77
ID01,ID01_Session03,1,11250,148075,875,452,738,35.90,50.54
ID01,ID01_Session03,0,109,159325,0,25,64,796.19,866.94
ID01,ID01_Session03,1,10469,162637,3203,757,666,947.75,1932.49
ID01,ID01_Session03,0,125,173106,0,610,448,262.93,845.50
ID01,ID01_Session03,1,3343,177278,4047,547,636,198.28,210.60
ID01,ID01_Session03,0,79,180621,0,517,440,198.28,468.19
ID01,ID01_Session03,0,94,233120,52420,601,785,355.08,1347.81
ID01,ID01_Session03,1,5609,240558,7344,550,708,92.36,207.04
ID01,ID01_Session03,0,516,246167,0,479,567,157.87,824.34
ID01,ID01_Session03,0,62,246886,203,669,577,23.00,23.00
ID01,ID01_Session03,0,875,250183,3235,512,598,158.40,529.82
ID01,ID01_Session03,0,93,251386,328,692,622,13.60,15.36
ID01,ID01_Session03,0,500,252292,813,505,610,187.38,191.81
ID01,ID01_Session03,0,94,252979,187,689,624,22.47,23.23
ID01,ID01_Session03,1,56905,270292,17219,593,707,126.91,1080.23
ID01,ID01_Session03,0,63,328790,1593,22,52,818.34,1319.04
ID01,ID01_Session03,0,109,342509,13656,73,526,476.74,2220.23
ID01,ID01_Session03,1,7406,343118,500,168,524,95.02,96.41
ID01,ID01_Session03,0,94,350524,0,238,632,342.12,371.36
ID01,ID01_Session03,0,94,356915,6297,237,598,34.01,870.57
ID01,ID01_Session03,0,94,363415,6406,199,601,38.12,55.37
ID01,ID01_Session03,1,8765,411586,48077,536,691,348.81,889.56
ID01,ID01_Session03,0,110,420351,0,29,54,813.30,856.20
ID01,ID01_Session03,0,94,426148,5687,913,656,1069.51,1632.80
ID01,ID01_Session03,1,2453,436070,9828,358,633,555.48,873.78
ID01,ID01_Session03,0,62,438523,0,481,124,538.98,652.96
ID01,ID01_Session03,0,109,441007,2422,1178,572,828.56,921.52
ID01,ID01_Session03,1,3874,443320,2204,1086,705,161.72,189.56
ID01,ID01_Session03,0,125,447663,469,907,747,183.86,389.88
ID01,ID01_Session03,0,78,450023,2235,1024,822,138.97,153.87
ID01,ID01_Session03,0,172,453397,3296,1163,786,143.59,307.26
ID01,ID01_Session03,1,12718,454257,688,1150,766,21.95,26.31
ID01,ID01_Session03,0,141,466975,0,1202,737,59.54,1278.72
ID01,ID01_Session03,1,38765,468428,1312,498,717,704.28,736.58
ID01,ID01_Session03,1,27671,539521,32328,118,610,412.92,812.50
ID01,ID01_Session03,1,6719,567286,94,291,639,0.00,0.00
ID01,ID01_Session03,0,62,574005,0,717,728,441.03,597.19
ID01,ID01_Session03,0,94,574348,281,720,716,12.37,12.99
ID01,ID01_Session03,1,46687,580504,6062,506,498,305.48,2023.14
ID01,ID01_Session03,0,93,645238,18047,1190,651,700.90,1046.54
ID01,ID01_Session03,1,7813,646081,750,1156,620,46.01,56.26
ID01,ID01_Session03,0,93,653894,0,485,116,580.55,696.84
ID01,ID01_Session03,0,94,655081,1094,74,461,536.61,657.84
ID01,ID01_Session03,1,16312,656628,1453,247,472,173.35,238.99
ID01,ID01_Session03,0,125,672940,0,1191,587,934.85,1152.42
ID01,ID01_Session03,1,13906,673284,219,1168,625,44.42,48.32
ID01,ID01_Session03,0,172,702846,15656,335,499,787.71,3009.14
ID01,ID01_Session03,0,625,708314,5296,217,303,228.78,862.77
ID01,ID01_Session03,0,125,709143,204,420,306,6.71,8.41
ID01,ID01_Session03,1,22640,724549,15281,619,890,616.97,1727.33
ID01,ID01_Session03,1,57312,749876,2687,527,858,2.83,4.00
ID01,ID01_Session03,1,3515,852312,45124,560,805,63.57,69.12
ID01,ID01_Session03,0,125,855827,0,500,482,314.21,948.36
ID01,ID01_Session03,0,47,858405,2453,20,60,639.13,942.79
ID01,ID01_Session03,1,4235,860358,1906,443,561,655.69,1229.33
ID01,ID01_Session03,0,1187,864593,0,175,613,280.18,427.84
ID01,ID01_Session03,0,78,865983,203,361,611,4.00,4.00
ID01,ID01_Session03,1,7078,869468,3407,402,609,40.05,143.21
ID01,ID01_Session03,0,125,876546,0,787,492,396.45,1150.29
ID01,ID01_Session03,1,36296,890889,14218,457,696,387.96,439.31
ID01,ID01_Session03,0,94,941122,13937,24,70,876.55,1434.66
ID01,ID01_Session03,0,125,943857,2641,106,565,501.75,1235.27
ID01,ID01_Session03,1,40327,946857,2875,161,527,66.85,76.89
ID01,ID01_Session03,0,140,1057605,70421,54,473,331.93,1458.23
ID01,ID01_Session03,1,2313,1058573,828,181,551,143.96,174.06
ID01,ID01_Session03,0,125,1060886,0,159,204,377.13,468.98
ID01,ID01_Session03,0,94,1070354,9343,51,640,449.18,1566.26
ID01,ID01_Session03,0,63,1073276,2828,259,535,232.11,591.67
ID01,ID01_Session03,0,94,1073604,265,262,552,17.26,18.06
ID01,ID01_Session03,0,94,1076307,2609,454,531,193.15,388.10
ID01,ID01_Session03,1,39639,1187540,111139,347,711,209.40,921.63
ID01,ID01_Session03,1,2781,1284397,57218,576,807,43.93,82.24
ID01,ID01_Session03,0,62,1304444,17266,596,723,40.31,383.69
ID01,ID01_Session03,0,516,1310131,5625,579,723,17.00,30.14
ID01,ID01_Session03,0,78,1310928,281,729,753,59.62,61.23
ID01,ID01_Session03,1,27796,1319381,8375,719,634,119.42,361.12
ID01,ID01_Session03,1,56046,1351130,3953,545,656,5.66,24.82
ID01,ID01_Session03,1,13250,1407410,234,530,710,56.30,77.66
ID01,ID01_Session03,0,156,1420660,0,15,60,771.34,2721.87
ID01,ID01_Session03,1,12578,1427894,7078,682,632,878.68,1011.03
ID01,ID01_Session03,0,110,1440472,0,543,635,69.40,106.38
ID01,ID01_Session03,0,109,1468331,27749,609,614,69.26,224.69
ID01,ID01_Session03,1,58187,1468987,547,654,601,46.84,55.42
ID01,ID01_Session03,0,110,1528392,1218,19,56,937.14,1302.04
ID01,ID01_Session03,0,78,1534174,5672,629,484,745.17,879.87
ID01,ID01_Session03,1,48312,1538861,4609,627,598,114.02,625.74
